序号,NEW_TYPE,大类,中类,小类,Big Category,Mid  Category,Sub Category
879,190600,地名地址信息,标志性建筑物,标志性建筑物,Place Name & Address,Landmark Buildings,Landmark Buildings
880,190700,地名地址信息,热点地名,热点地名,Place Name & Address,The hot names,The hot names
881,200000,公共设施,公共设施,公共设施,Public Facility,Public Facility,Public Facility
882,200100,公共设施,报刊亭,报刊亭,Public Facility,Newsstand,Newsstand
883,200200,公共设施,公用电话,公用电话,Public Facility,Public Phone,Public Phone
884,200300,公共设施,公共厕所,公共厕所,Public Facility,Public Toilet,Public Toilet
885,200301,公共设施,公共厕所,男洗手间,Public Facility,Public Toilet,Male Toilet
886,200302,公共设施,公共厕所,女洗手间,Public Facility,Public Toilet,Female Toilet
887,200303,公共设施,公共厕所,残障洗手间/无障碍洗手间,Public Facility,Public Toilet,Wheelchair Accessible
888,200304,公共设施,公共厕所,婴儿换洗间/哺乳室/母婴室,Public Facility,Public Toilet,Room of Mother and Infant
889,200400,公共设施,紧急避难场所,紧急避难场所,Public Facility,Emergency Shelter,Emergency Shelter
890,220000,事件活动,事件活动,事件活动,Incidents and Events,Incidents and Events,Incidents and Events
891,220100,事件活动,公众活动,公众活动,Incidents and Events,Public Event,Public Event
892,220101,事件活动,公众活动,节日庆典,Incidents and Events,Public Event,Festival Celebration
893,220102,事件活动,公众活动,展会展览,Incidents and Events,Public Event,Convention & Exposition
894,220103,事件活动,公众活动,体育赛事,Incidents and Events,Public Event,Sports Event
895,220104,事件活动,公众活动,文艺演出,Incidents and Events,Public Event,Art Performance
896,220105,事件活动,公众活动,大型会议,Incidents and Events,Public Event,Conference
897,220106,事件活动,公众活动,运营活动,Incidents and Events,Public Event,Operating Activities
898,220107,事件活动,公众活动,商场活动,Incidents and Events,Public Event,Marketplace Activities
899,220200,事件活动,突发事件,突发事件,Incidents and Events,Emergency,Emergency
900,220201,事件活动,突发事件,自然灾害,Incidents and Events,Emergency,Natural Disaster
901,220202,事件活动,突发事件,事故灾难,Incidents and Events,Emergency,Accident
902,220203,事件活动,突发事件,城市新闻,Incidents and Events,Emergency,City News
903,220204,事件活动,突发事件,公共卫生事件,Incidents and Events,Emergency,Public?Health?Event
904,220205,事件活动,突发事件,公共社会事件,Incidents and Events,Emergency,Public Social Event
905,970000,室内设施,室内设施,室内设施,Indoor facilities,Indoor facilities,Indoor facilities
906,980000,虚拟数据,虚拟数据,虚拟数据,Invented Data,Invented Data,Invented Data
907,980100,虚拟数据,虚拟民宿,虚拟民宿,Invented Data,Invented Home Accommodation,Invented Home Accommodation
908,990000,通行设施,通行设施,通行设施,Pass Facilities,Pass Facilities,Pass Facilities
909,991000,通行设施,建筑物门,建筑物门,Pass Facilities,Gate of Buildings,Gate of Buildings
910,991001,通行设施,建筑物门,建筑物正门,Pass Facilities,Gate of Buildings,Main Gate of Buildings
911,991400,通行设施,临街院门,临街院门,Pass Facilities,Gate of Street House,Gate of Street House
912,991401,通行设施,临街院门,临街院正门,Pass Facilities,Gate of Street House,Main Entrance of Street House Gate
913,991500,通行设施,虚拟门,虚拟门,Pass Facilities,Virtual Gate,Virtual Gate
914,991600,通行设施,特殊通道,特殊通道,Pass Facilities,Special corridor,Special corridor
915,991601,通行设施,特殊通道,无障碍电梯,Pass Facilities,Special corridor,Barrier-free elevators
